Loan_ID,Customer_Name,Loan_Amount,Interest_Rate,Loan_Term
681,Matthew Thompson,12237.21,8.8,60
269,Nancy Sandoval,44414.03,7.5,12
945,Stephanie Decker,36304.14,7.25,36
743,Bryan Hancock,48782.62,7.72,60
658,Jennifer Long,47795.45,3.82,60
344,Mr. George Austin MD,15464.4,7.25,24
899,William Mcdonald,45890.59,8.18,36
120,Jason Patterson,12293.3,5.9,60
298,Jacob Obrien,26194.09,7.18,60
870,Joshua Bailey,15849.11,4.75,60
65,Ian Reed,22964.2,6.36,12
471,Kristine Nguyen,31488.74,9.67,12
447,Jaime Aguilar,40683.49,4.59,48
46,James Wright,25524.53,3.7,36
541,Diane Robinson,15029.25,5.73,12
752,Jennifer Watson MD,44820.05,8.51,12
575,Shannon Bates,24335.47,3.84,12
231,Robert Graham,44215.43,6.02,60
176,Hector Marks,48908.44,5.13,48
392,Tyler Moore,37919.29,4.78,48
76,Thomas Soto,10836.17,4.47,12
760,Tina Villarreal,41389.95,8.68,12
320,Laura Colon,46101.5,3.31,48
7,Tanner Ward,49376.91,6.03,60
877,Danielle Williams,12983.56,6.77,60
255,Maurice Rodriguez,10440.44,3.67,60
993,John Moses,28084.31,8.61,12
62,Roy Edwards,33715.38,7.38,24
880,David Graves,10299.75,4.37,60
336,Angel Washington,11772.96,8.59,48
96,James Thompson,40961.2,5.7,60
572,William Mcdonald,13148.77,7.22,60
391,Tammy Jackson,22520.2,5.84,12
41,Stephanie Barber,23365.38,8.77,48
571,Andrew Powers,13432.25,8.21,12
829,Stephanie Torres,12183.8,9.33,60
151,Timothy Navarro,31401.32,8.65,48
943,Ryan Perez,38882.66,8.32,48
975,Mason Tucker,12741.84,7.06,60
539,Kimberly Bruce,28907.2,4.73,60
977,Robert Cummings,11428.66,8.38,48
27,Billy Hendricks,39110.18,3.23,60
759,Danielle Gonzalez,13023.77,4.6,24
513,Sandra Rivera,44439.89,3.91,24
94,Steven Huff,42779.46,7.63,60
198,Erica Dixon,37393.97,3.85,24
697,John Mccoy,25727.2,6.56,24
982,James Maynard,27021.4,4.71,48
847,Jeffrey Brown,40234.81,9.11,12
723,Dennis Perez,43751.09,6.64,24
841,Kathleen Levy,46691.94,9.83,12
903,Michelle Moran,38021.62,9.03,36
887,Hannah Manning,43620.67,8.68,24
29,Gregory Rogers,48426.84,9.34,36
82,Michael Ortiz,33755.81,7.54,48
755,James Lee,14748.03,3.59,36
556,Sarah Forbes,16537.42,9.83,12
747,Jacob Garcia,22869.7,8.0,36
669,Desiree Colon,35436.96,3.14,24
836,Jared Floyd,48018.07,3.49,48
777,Daniel Goodman,42057.64,9.53,24
59,Carmen Simon,47228.53,5.28,24
522,David Padilla,19784.13,5.76,48
67,Phillip White,19922.15,9.67,12
850,Cory Walker,49312.33,3.07,36
408,Robert Bailey,45191.62,5.48,24
333,Jessica Moss,39000.29,8.76,60
837,Christopher Martin,48745.29,5.57,12
788,Wendy Rosario,21767.74,3.59,36
965,Timothy Reid,17238.43,9.98,12
121,Timothy Williams,30056.56,4.88,36
279,Marvin Russell,19189.02,6.47,48
140,Tiffany Bradley,20441.42,4.39,48
874,Daniel Potter,27465.67,4.19,48
90,Shane White,12343.45,4.64,60
431,Frederick Brown,10916.5,6.42,12
616,Diamond Sharp MD,10452.44,6.7,36
205,Charles Molina,48122.49,6.07,60
323,Michael Chambers,16384.29,10.0,36
617,Karen Leonard,32534.89,8.71,36
907,Rita Davis,47010.1,4.99,24
200,Rachael Ritter,18404.12,3.47,48
826,David Fuller,14473.47,4.76,60
358,Jennifer Morris,13179.64,9.73,36
953,Ronald Scott,49713.42,5.15,36
156,April Johnson,30191.13,4.72,48
720,Aaron Moses,13019.53,9.53,12
551,Jay Sanchez,43034.0,4.24,60
954,Mary Clark,12716.71,9.73,12
11,Gary Miller,22637.26,9.73,48
2,Justin Morton,38658.24,3.48,36
58,Kevin Mcfarland,31569.15,9.46,48
988,Tom Valdez,31388.5,3.94,12
930,David Gill MD,37694.8,9.85,24
694,Julie Hall,45583.22,9.74,24
737,David Holmes,37025.09,8.11,12
166,Elizabeth Holland,22954.03,5.91,48
218,James Mitchell,28879.48,3.07,12
119,Matthew Silva,44080.99,4.45,36
642,Tina Nelson,48215.89,5.55,24
319,Laurie Jones,33409.91,4.3,48
676,Elizabeth Brooks,41263.98,9.28,60
773,Angel Hampton,39823.7,4.65,12
818,Andrew Harris,45899.42,3.26,48
377,Jamie Garcia,34949.23,7.24,36
511,Johnny Manning,39318.31,4.27,48
579,Daniel Wright,23597.64,5.89,48
315,Mark Thomas,26736.48,7.21,36
175,Angelica Gonzalez,32500.65,8.65,60
773,Elizabeth Cunningham,45105.6,4.19,36
686,Jenna Mitchell,20247.2,4.73,24
134,Kelli Fox,43575.54,4.05,48
738,George Campbell,35776.78,5.35,36
868,Ruth Shah,20675.32,6.69,24
984,Brian Paul,19954.62,9.95,36
363,Miranda Lee,37394.4,5.28,48
384,Melissa Price,28157.91,4.47,24
488,Isabella Woods,42576.99,6.51,24
855,Billy Castro,26393.9,8.49,12
968,Craig Johnson,49121.0,7.63,60
50,Sean Simon,12531.82,3.46,60
819,Donald Perkins,35453.88,3.59,60
543,Ian Hayden,31939.51,9.11,60
323,Tammy Turner,25096.75,9.0,12
709,John Hudson,33946.04,9.71,48
381,Joseph Joseph,29742.6,7.87,12
341,Ashley Nichols,25230.86,4.11,12
348,Ashley Ellis,45511.35,8.3,36
582,Corey Lucas,12094.44,7.8,60
885,Tanya Rivera,41243.84,8.27,60
719,Cynthia Howard,38314.37,3.66,36
141,Jeremy Ayers,11776.02,4.39,12
476,Jennifer Hooper,15124.84,7.18,60
623,Manuel Allen,22965.66,6.47,60
260,Jacqueline Peterson,35631.81,3.76,60
352,Maria White,43364.16,4.86,12
898,Michael Lawrence,31850.17,9.53,24
97,Stephanie Burns,13681.41,9.04,24
966,Anthony Castro,17425.61,6.77,24
41,David Brown,43138.15,3.42,60
107,Richard Oliver,42023.66,7.26,60
30,Robert Parker,26979.46,5.75,60
257,Tyler Miller,49093.74,6.13,60
89,Michelle Barron,47021.36,8.9,12
534,Alexandra Mendoza,26007.78,9.81,12
595,Edwin Zuniga,46299.51,9.0,12
99,Mr. Michael Dixon,45003.28,4.99,12
9,Michael Mejia,39501.3,5.26,12
855,Kathy Rivera,24177.37,8.46,48
638,Jonathan Brown,23322.18,9.0,60
550,Craig Bowman,21633.31,5.57,12
183,Desiree Blake,31387.84,5.65,24
656,Steven Beltran,17079.51,8.58,36
255,Sharon Tucker,35320.64,3.89,60
655,Daniel Pitts,12886.35,7.92,24
704,Chad Blair,14269.14,5.07,12
600,Joshua Hamilton,38157.78,4.26,24
761,Zachary Huff,17832.67,7.34,24
241,Donna Brown,12485.46,8.64,48
322,Brenda Thomas,32466.8,6.46,60
53,Christine Washington,32532.16,7.31,48
985,David Preston,15683.2,8.59,24
526,Chad Brown,44808.78,7.4,36
657,Amy Mccullough,33977.18,4.26,36
967,Jennifer Lee,43420.09,6.5,48
310,Kim Bailey,15982.39,7.79,24
987,Joseph Young,21714.75,9.5,48
204,Darlene Briggs,15648.31,7.18,24
552,Laura Velasquez,42816.39,5.4,36
120,Mark Middleton,11115.9,8.51,48
35,Jennifer Campbell,48044.79,8.8,36
589,Christina Salinas,41957.33,4.56,12
240,Mary Holmes,49633.94,3.79,60
310,Robert Murphy,21482.41,3.12,24
505,Scott Vargas,36300.46,9.5,36
106,Patricia Garcia,26853.8,8.62,24
246,Melanie Taylor,27770.91,5.64,36
527,Nicholas Oliver,41132.39,6.05,12
268,Michael Young,25936.96,9.88,36
904,Robert Dennis,49327.22,9.06,12
384,William Ryan,21631.71,5.47,12
35,Eugene Cuevas,21861.9,7.41,36
575,Laurie Nelson,23058.01,4.08,36
265,Angela Bryant,30677.06,8.57,24
711,Mitchell Vega,28508.56,8.09,36
712,Jay Hall,15572.24,6.84,60
190,John Clark,26388.41,4.97,60
771,Thomas Paul,15230.56,8.61,60
378,Robert Hernandez,15158.0,9.94,24
851,Jared Garcia,34241.84,7.76,24
523,Ryan Brooks,29469.96,7.06,36
829,Larry Velazquez,31872.45,3.63,36
487,Corey Montgomery,37895.41,9.85,48
581,Lori Mckee,25867.92,9.51,48
807,Brandon Stone,19803.32,5.61,12
849,James Ray,13083.62,6.47,24
507,Emily Burgess,42328.84,9.35,48
520,Jose Franklin,49362.18,4.57,60
5,Robert Mata,37067.82,7.67,12
626,Molly Davila,31256.23,9.46,60
770,Frank Gonzalez,31287.41,3.7,60
66,Steven Bennett,17211.01,3.93,60
790,Eric Smith,20520.04,5.24,36
723,Kelly Deleon,39093.52,6.58,24
497,Tracey Richardson,31390.42,9.32,24
706,Wendy Roberts,43981.28,5.59,36
626,Anna Anderson,34048.42,3.82,48
29,Carlos Pratt,24898.73,4.67,36
53,James Stone,24374.71,8.07,24
597,Sylvia Fernandez,47452.54,4.16,36
622,Cindy Shaw,11348.89,3.57,24
72,Justin Costa,43310.53,4.83,48
348,Rodney Cooke,18120.52,6.63,60
155,Emily Douglas,15671.99,6.38,48
670,Mark Reynolds,41469.51,5.93,24
573,Eric Garcia,30848.61,9.14,36
60,Keith Doyle,40983.13,6.44,12
391,Courtney Garcia,15001.44,4.28,60
646,Barbara Boyle,13364.77,9.59,36
701,Paul Lopez,28633.52,4.14,60
673,William Miller,41931.93,6.83,12
804,Kevin Ware,12086.34,6.15,36
665,Dylan Garner,14776.51,5.68,24
763,Jenna Ross,35682.66,5.4,36
717,Patricia Martin,26238.64,7.67,24
8,Patricia Moody,48327.54,4.7,60
125,Jeff Williams,31185.17,3.29,24
192,Dominique Russell,14864.29,5.55,24
30,Jackson Shelton,22524.42,6.13,24
675,James Fowler,12234.53,6.55,60
681,Daniel Allen,32541.03,9.51,24
624,Peter Roberts,20144.54,8.53,60
967,William Mata,28409.65,4.83,60
833,Jennifer Reed,35079.24,5.87,12
1000,Dustin Tucker,10062.57,4.62,24
710,Kimberly Soto,21865.15,8.92,48
429,Jason Schultz,19437.5,3.15,24
451,Brandi Clarke,32796.83,9.08,12
192,Paula Ward,32694.66,7.91,12
95,Janice Scott,40424.43,6.52,60
435,David Rocha,13130.71,8.27,48
962,Adam Eaton,21999.29,8.63,36
413,Lisa Morrison,12875.18,6.53,12
363,Ariel Davis,26510.76,6.37,24
155,Ryan Mcintyre,13137.63,9.87,60
902,Linda Whitehead,44667.56,4.5,36
987,Megan Hopkins,45449.8,5.16,12
463,Jessica Ferguson,43998.05,9.99,24
686,Margaret Myers,16674.21,9.03,24
100,Robert Davis,28234.64,9.22,36
224,Dr. Michael Bowman MD,49246.24,4.95,48
984,Joseph Thompson,34770.65,5.94,12
573,Margaret Johnson,43572.01,8.47,36
103,Elizabeth Matthews,32504.71,3.8,24
972,Stephanie Nielsen,25964.08,4.47,48
661,Madison Morrow,30395.44,8.83,24
247,Aaron Jones,40514.52,3.52,48
978,Bobby Rodriguez,13633.74,4.52,12
89,Russell Gonzalez,15068.04,7.6,24
365,Tiffany Dominguez,44251.02,7.92,48
226,Gregory Sandoval,49554.69,3.87,60
899,Jonathan Morgan,34267.91,7.52,36
655,Javier Davis,30796.14,5.5,24
757,Angela Mckay,41486.69,6.11,24
984,Christopher Ingram,10871.77,4.08,12
925,Jocelyn Brown,42817.23,5.63,36
378,Aaron Cole,44706.77,3.55,12
350,Lauren Turner,23868.87,8.66,48
537,Robert Wilson,11543.85,9.51,36
997,Craig Martinez,46713.15,8.57,48
272,Rachel Morrison,47404.59,7.35,36
795,Billy Kennedy,31490.15,8.29,48
257,Vanessa Bowen,47368.64,3.27,60
551,Thomas Rodriguez,15971.39,8.64,36
343,Breanna Edwards,41758.4,4.52,36
665,Vanessa Paul,45613.1,3.95,24
148,Brian Villanueva,15849.98,3.79,60
325,Mr. Eric Ramos,23205.99,3.37,48
923,Andrea Bell,38727.37,6.16,48
931,Ashley Gray,45890.53,9.36,12
106,David Hunter,12533.58,4.15,36
264,Jennifer Blevins,43780.75,5.19,48
184,Jacob Lane,32871.15,3.66,48
732,Jacob Rodriguez,10402.92,5.81,12
944,Amanda Anderson,10530.32,4.48,24
278,Nancy Holmes,48723.52,3.48,36
112,Lisa Martinez,11661.26,5.14,60
531,Cynthia Dennis,42518.14,6.62,60
245,Jessica Middleton,26551.39,5.04,36
257,Michael Bradford,27567.32,4.41,36
307,Marvin Nicholson,14006.15,5.9,24
196,Kenneth Allen,47468.62,7.67,48
96,Emily Brown,46294.38,7.63,24
184,Lance Barker,37840.74,5.49,12
764,Danielle Hunter,19149.44,5.38,24
770,Alexander Blevins,37390.39,7.04,36
571,Justin Rodriguez,36715.33,8.01,24
735,Jamie White,36402.78,9.55,12
169,Ian Stafford,28150.53,3.33,48
104,Olivia Taylor,16985.4,6.05,60
206,Elizabeth Williams,35088.96,8.56,36
522,Mary George,39043.62,5.36,24
270,Robert Kelly,21703.59,6.18,12
80,Troy Howell,34709.79,5.96,60
293,Peter Matthews,41829.45,8.99,24
340,Lindsey Benson,19010.03,5.73,24
316,Michael Ingram,10881.44,9.59,48
332,Charles Carey,25300.1,5.17,60
534,Christina Taylor,24042.21,9.25,12
374,Kathleen Reed,11278.74,9.4,24
281,Brenda Perez,41101.45,9.82,36
924,Mr. Michael Melendez Jr.,21088.31,7.49,12
930,Steven Bailey,15954.82,8.84,60
749,Monica Gordon,27635.26,5.49,12
860,Cynthia Peters,48116.67,5.47,48
139,Jessica Cervantes,44716.81,3.21,12
870,Kimberly Mooney,45242.68,3.8,24
572,April Johnson,32251.98,5.47,12
673,Rebecca Stone,16650.28,5.75,60
413,Nathaniel Butler,40512.54,3.46,12
396,Dana Lang,24087.95,9.11,36
635,David George,44694.84,5.65,12
491,Patrick Gonzalez,11498.9,4.92,24
957,Jerry Sullivan,45395.23,5.43,60
393,Darrell Brandt,48406.59,4.41,48
44,Karen Carlson,18964.46,7.78,36
13,Courtney Baker,11670.76,4.7,60
490,Gerald Rodriguez,28272.46,4.86,36
76,Robin Murray,42431.29,3.93,48
900,Colleen Rivera,14184.56,3.72,48
27,Melissa Williams,18184.2,7.42,12
904,Marcia Brown,48451.12,4.2,24
231,Dylan Villanueva,21807.9,3.14,36
901,Kimberly Stewart,44526.58,6.64,36
239,Megan Mcguire,33066.47,6.39,24
437,Daniel Clark,43924.9,4.65,12
985,Kathy Lopez,36915.06,7.21,24
853,Matthew Bass,31342.67,7.32,12
928,Amy Martinez,41400.3,9.52,36
953,Dustin Kane,21498.25,3.98,48
618,Roy Williams,32413.39,4.52,12
37,Sabrina Zimmerman,30860.82,6.21,36
672,Joseph West,27253.05,5.66,24
349,Carlos Cox,31629.94,4.46,48
104,Lori Burns,28063.91,5.1,24
280,Martin Wagner,27580.62,3.63,24
204,Tammy Joyce,48734.35,5.64,60
524,Elizabeth Perez,24084.21,3.14,36
